Municipality of origin for majority of IDPs,Municipal section of origin for IDPs,District of origin for IDPs,IDPs counted
Port-au-Prince,6ème Turgeau,Delmas 2 - Saint-Martin - Tokyo,2292
Port-au-Prince,6ème Turgeau,Poste Marchand,1750
Port-au-Prince,6ème Turgeau,Fort National,1250
Port-au-Prince,6ème Turgeau,St Jean Bosco - Portail St Joseph,1000
Port-au-Prince,6ème Turgeau,Solino,800
Port-au-Prince,6ème Turgeau,Fort National,775
Port-au-Prince,6ème Turgeau,Lelio,600
Port-au-Prince,6ème Turgeau,Fort National,600
Port-au-Prince,6ème Turgeau,Fort National,525
Port-au-Prince,6ème Turgeau,Fort National,500
Port-au-Prince,6ème Turgeau,Fort National,450
Port-au-Prince,6ème Turgeau,Solino,395
Port-au-Prince,6ème Turgeau,Fort National,390
Port-au-Prince,6ème Turgeau,Carrefour - Feuilles,204
Port-au-Prince,6ème Turgeau,Champ-de-Mars,100
Port-au-Prince,6ème Turgeau,Poste Marchand,75
Port-au-Prince,6ème Turgeau,Christ-Roi - Nan Moise,40
Port-au-Prince,6ème Turgeau,Bel-air,23
Port-au-Prince,6ème Turgeau,Carrefour - Feuilles,15
Port-au-Prince,8ème Martissant,Bolosse,3410
Port-au-Prince,8ème Martissant,Descayettes,1590
Port-au-Prince,8ème Martissant,Cite Neuf,1590
Port-au-Prince,8ème Martissant,Haut Bolosse,1000
Port-au-Prince,8ème Martissant,Sion,600
Port-au-Prince,8ème Martissant,Fontamara Est,525
Port-au-Prince,8ème Martissant,Bas Martissant,300
Port-au-Prince,8ème Martissant,Cite Louverture,300
Port-au-Prince,8ème Martissant,Bas Martissant,250
Port-au-Prince,8ème Martissant,Morne Madan Garnot,250
Port-au-Prince,8ème Martissant,Cite de l'Eternel,215
Port-au-Prince,8ème Martissant,Bas Martissant,210
Port-au-Prince,8ème Martissant,STEP - Eglise Baptiste de Bolosse,210
Port-au-Prince,8ème Martissant,Cite Louverture,210
Port-au-Prince,8ème Martissant,Bas Martissant,200
Port-au-Prince,8ème Martissant,Fontamara Est,200
Port-au-Prince,8ème Martissant,Bas Martissant,200
Port-au-Prince,8ème Martissant,Cite de l'Eternel,175
Port-au-Prince,8ème Martissant,Morne Ti-source,155
Port-au-Prince,8ème Martissant,Bas Martissant,150
Port-au-Prince,8ème Martissant,Bas Martissant,150
Port-au-Prince,8ème Martissant,Bas Martissant,150
Port-au-Prince,8ème Martissant,Martissant - Breard - Sainte-Bernadette,140
Port-au-Prince,8ème Martissant,Bas Martissant,120
Port-au-Prince,8ème Martissant,Bas Martissant,100
Port-au-Prince,8ème Martissant,Bas Martissant,80
Port-au-Prince,8ème Martissant,Bas Martissant,60
Port-au-Prince,8ème Martissant,Bas Martissant,60
Port-au-Prince,8ème Martissant,Bas Martissant,50
Port-au-Prince,8ème Martissant,Fontamara Est,50
Port-au-Prince,8ème Martissant,Bas Martissant,50
Port-au-Prince,8ème Martissant,Grand Ravine,50
Port-au-Prince,8ème Martissant,Deslouis - Descayettes,50
Port-au-Prince,8ème Martissant,Martissant - Cite Manigat,21
Port-au-Prince,8ème Martissant,Bas Martissant,20
Port-au-Prince,8ème Martissant,Bas Martissant,15
Carrefour,9ème Bizoton,La Belair,325
Carrefour,9ème Bizoton,Nan Citron - Village Michel,300
Carrefour,9ème Bizoton,Grand Caye - Marre Bizoton,282
Carrefour,9ème Bizoton,Fontamara Ouest,48
,,,140
